company_no,company_name,cb_no,bond_type,bond_period,bond_category,publish_date,expire_date,publish_qty,remain_qty,basic_interest,interest_pay_type,interest_calc_count,interest_pay_count,credit_level,publish_location,back_flag,back_description,bond_short_name,announce_date,publish_length,publish_month,ipo,ensure,ensure_status,sell_back_date,sell_back_price,sell_broker,remain_change_date,remain_change_cause,currency,collect_method,convert_price,convert_start_date,convert_end_date,trustee
4207      ,環泰企業,42072          ,5,2         ,,20110923,20140923,300000000,63700000,0, ,0,0,不適用  ,1,1,                                                                                ,環泰二                        ,20110823,3,0,2,1,遠東國際商業銀行股份有限公司暨臺灣新光商業銀行股份有限公司                      ,20140923,102.01,宏遠證券股份有限公司                                                            ,20120930,債券發行                                                    ,1,7,10.5,20111224,20140913,大眾商業銀行股份有限公司                          
4306      ,炎洲,43066          ,5,6         ,0         ,20110314,20160314,1000000000,667400000,0, ,0,0,        ,1,1,                                                                                ,炎洲六                        ,20110314,5,0,2,2,                                                                                ,20140314,101.51,凱基證券股份有限公司                                                            ,0,                                                            ,1,7,32.5,20110415,20160304,元大商業銀行信託部                                
4306      ,炎洲,43067          ,5,7         ,0         ,20130313,20180313,300000000,32400000,0, ,0,0,        ,1,1,                                                                                ,炎洲七                        ,20130313,5,0,2,2,                                                                                ,20160313,102.27,元大寶來證券股份有限公司                                                        ,0,                                                            ,1,7,20.4,20130414,20180303,日盛國際商業銀行股份有限公司                      
4402      ,福大,44021          ,5,1         ,,20130328,20160328,300000000,63800000,0, ,0,0,不適用  ,1,1,                                                                                ,福大一                        ,20130328,3,0,2,1,板信商業銀行股份有限公司                                                        ,20150328,102.01,統一綜合證券股份有限公司                                                        ,0,債權人申請轉換普通股                                        ,1,7,9,20130429,20160318,台灣新光商業銀行股份有限公司信託部                
4416      ,三圓,44161          ,5,1         ,,20131018,20181018,1000000000,997900000,0, ,0,0,無      ,1,1,                                                                                ,三圓一                        ,20131018,5,0,2,1,合作金庫商業銀行                                                                ,20161018,100.7518,元富證券股份有限公司                                                            ,0,                                                            ,1,7,134.5,20131119,20181008,新光商業銀行股份有限公司信託部                    
4430      ,耀億工業,44301          ,5,1         ,,20120730,20150730,300000000,75100000,0, ,0,0,        ,1,1,                                                                                ,耀億一                        ,20120730,3,0,2,2,                                                                                ,20140730,100,凱基證券股份有限公司                                                            ,0,NA                                                          ,1,7,37.7,20120830,20150720,中華開發工業銀行股份有限公司                      
4523      ,永彰機電,45231          ,5,1         ,,20130125,20180125,200000000,200000000,0, ,0,0,        ,1,1,                                                                                ,永彰一                        ,20130125,5,0,2,2,                                                                                ,20150125,100,大華證券股份有限公司                                                            ,0,                                                            ,0,7,33,20130226,20180115,中華開發工業銀行股份有限公司                      
4534      ,慶騰精密,45342          ,5,2         ,,20131001,20161001,200000000,46800000,0, ,0,0,不適用  ,1,1,                                                                                ,慶騰二                        ,20131001,3,0,2,1,中國信託商業銀行股份有限公司，台北富邦商業銀行股份有限公司                      ,20151001,102.01,中國信託綜合證券                                                                ,0,                                                            ,1,7,12.8,20131102,20160921,兆豐國際商業銀行股份有限公司                      
4714      ,永捷,47141          ,5,1         ,,20120622,20150622,150000000,39500000,0, ,0,0,不適用  ,1,1,                                                                                ,永捷一                        ,20120622,3,0,2,1,遠東國際商業銀行股份有限公司                                                    ,20140622,102.52,大眾綜合證券股份有限公司                                                        ,0,                                                            ,1,7,14.2,20120723,20150612,中國信託商業銀行股份有限公司                      
4714      ,永捷,47142          ,5,2         ,,20120625,20150625,100000000,43900000,0, ,0,0,不適用  ,1,1,                                                                                ,永捷二                        ,20120625,3,0,2,2,                                                                                ,20140625,103.02,大眾綜合證券股份有限公司                                                        ,0,                                                            ,1,7,14.2,20120726,20150615,中國信託商業銀行股份有限公司                      
4733      ,上緯企業,47331          ,5,1         ,,20130823,20180823,710000000,343100000,0, ,0,0,不適用  ,1,1,                                                                                ,上緯一                        ,20130823,5,0,2,2,                                                                                ,20150823,102.01,台新綜合證券股份有限公司                                                        ,0,不適用                                                      ,1,7,43,20130924,20180813,台新國際商業銀行 信託部                           
4735      ,豪展醫療,47351          ,5,1         ,,20131129,20161129,100000000,100000000,0, ,0,0,不適用  ,1,1,                                                                                ,豪展一                        ,20131129,3,0,2,1,合作金庫商業銀行股份有限公司                                                    ,20151129,102.01,第一金證券股份有限公司                                                          ,0,                                                            ,1,7,18.7,20140530,20161119,日盛國際商業銀行股份有限公司                      
4736      ,泰博,47361          ,5,1         ,,20130821,20160821,600000000,389600000,0, ,0,0,        ,1,1,                                                                                ,泰博一                        ,20130821,3,0,2,1,玉山商業銀行股份有限公司                                                        ,20150821,102.01,凱基證券股份有限公司                                                            ,20130831,                                                            ,1,7,80,20130922,20160811,合作金庫商業銀行股份有限公司信託部                
4737      ,華廣,47371          ,5,1         ,,20120106,20150106,600000000,268800000,0, ,0,0,不適用  ,1,1,                                                                                ,華廣一                        ,20120106,3,0,2,2,                                                                                ,20140106,100,富邦綜合證券股份有限公司                                                        ,0,                                                            ,1,7,100,20140107,20141227,中國信託商業銀行                                  
4737      ,華廣,               ,5,101       ,,20120229,20150228,246000000,246000000,1.5, ,0,0,        ,1,1,                                                                                ,                              ,0,3,0,5,2,                                                                                ,0,0,NA                                                                              ,20120629,None                                                        ,0,8,101,20140301,20150219,中國信託商業銀行                                  
4739      ,康普,47391          ,5,1         ,,20120829,20170829,400000000,392300000,0, ,0,0,        ,1,1,                                                                                ,康普一                        ,20120829,5,0,2,1,中國信託商業銀行股份有限公司                                                    ,20150829,104.57,福邦證券(股);凱基證券(股);亞東證券(股)                                          ,0,                                                            ,1,7,21.9,20120930,20170819,兆豐國際商業銀行股份有限公司                      
4745      ,F-合富,47451          ,5,1         ,1         ,20140226,20170226,400000000,217000000,0, ,0,0,不適用  ,1,1,                                                                                ,合富一                        ,20140226,3,0,2,2,                                                                                ,20160226,102.01,宏遠證券股份有限公司                                                            ,0,                                                            ,1,7,100,20140327,20170216,中國信託商業銀行股份有限公司信託部                
4746      ,台耀,47461          ,5,1         ,,20121219,20151219,500000000,145500000,0, ,0,0,        ,1,1,                                                                                ,台耀一                        ,20121219,3,0,2,2,                                                                                ,0,0,凱基證券股份有限公司                                                            ,0,                                                            ,1,7,48.2,20130120,20151209,中國信託商業銀行股份有限公司信託部                
4746      ,台耀,47462          ,5,2         ,,20140731,20170731,500000000,500000000,0, ,0,0,不適用  ,1,1,                                                                                ,台耀二                        ,20140731,3,0,2,2,                                                                                ,0,0,凱基證券股份有限公司                                                            ,0,                                                            ,1,7,85,20140901,20170721,中國信託商業銀行股份有限公司                      
4903      ,聯光通信,49031          ,5,1         ,1         ,20100907,20150907,200000000,14100000,0, ,0,0,不適用  ,1,1,                                                                                ,聯光一                        ,20100909,5,0,2,1,兆豐國際商業銀行股份有限公司                                                    ,20120907,102.01,富邦綜合證券股份有限公司                                                        ,20140731,執行轉換股票                                                ,1,7,11.2,20101208,20150828,台北富邦商業銀行股份有限公司信託部                
4906      ,正文,49063          ,5,3         ,,20110725,20160725,2000000000,1870600000,0, ,0,0,        ,1,1,                                                                                ,正文三                        ,20110725,5,0,2,2,                                                                                ,20140725,100,寶來證券股份有限公司                                                            ,20140630,N/A                                                         ,1,7,32.45,20111026,20160715,永豐商業銀行股份有限公司                          
4912      ,F-聯德,49121          ,5,1         ,1         ,20140415,20170415,400000000,400000000,0, ,0,0,不適用  ,1,1,                                                                                ,聯控一                        ,20140415,3,0,2,2,                                                                                ,20160415,102.01,中國信託綜合證券股份有限公司                                                    ,0,                                                            ,1,7,60,20140516,20170405,中國信託商業銀行股份有限公司信託部                
4924      ,F-欣厚,49241          ,5,1         ,,20120307,20150306,200000000,138600000,0, ,0,0,        ,1,1,                                                                                ,欣厚一                        ,20120307,3,0,2,2,                                                                                ,20140307,102.01,永豐金證券股份有限公司                                                          ,0,                                                            ,1,7,42.9,20120408,20150224,中國信託商業銀行股份有限公司信託部                
4927      ,F-泰鼎,49271          ,5,101-1     ,,20121130,20171130,600000000,408200000,0, ,0,0,        ,1,1,                                                                                ,泰鼎一                        ,20121130,5,0,2,2,                                                                                ,20151130,103.03,華南永昌綜合證券股份有限公司                                                    ,0,                                                            ,1,7,40,20130101,20171120,中國信託商業銀行股份有限公司信託部                
4927      ,F-泰鼎,49272          ,5,103-1     ,,20140721,20190721,650000000,650000000,0, ,0,0,        ,1,1,                                                                                ,泰鼎二                        ,20140721,5,0,2,2,                                                                                ,20160721,101.0025,凱基證券股份有限公司                                                            ,0,                                                            ,1,7,45,20140822,20190711,中國信託商業銀行股份有限公司信託部司              
4933      ,友輝,49331          ,5,1         ,,20130131,20180131,1000000000,1000000000,0, ,0,0,無      ,1,1,                                                                                ,友輝一                        ,20130131,5,0,2,2,                                                                                ,20160131,100,大華證券股份有限公司                                                            ,0,                                                            ,1,7,136,20130301,20180121,大台北商業銀行股份有限公司信託部                  
4939      ,亞電,49391          ,5,1         ,,20120621,20150621,300000000,239000000,0, ,0,0,不適用  ,1,1,                                                                                ,亞電一                        ,20120621,3,0,2,1,遠東國際商業銀行股份有限公司                                                    ,20140621,102.01,統一綜合證券股份有限公司                                                        ,20140731,                                                            ,1,7,25.66,20120922,20150611,上海商業儲蓄銀行股份有限公司                      
4939      ,亞電,49392          ,5,2         ,,20140425,20170425,300000000,268000000,0, ,0,0,不適用  ,1,1,                                                                                ,亞電二                        ,20140425,3,0,2,1,遠東國際商業銀行股份有限公司                                                    ,20160425,102.01,統一綜合證券股份有限公司                                                        ,20140731,公司債轉換為普通股                                          ,1,7,18.93,20140726,20170415,上海商業儲蓄銀行股份有限公司                      
4944      ,兆遠科技,49441          ,5,1         ,,20120309,20170309,300000000,56700000,0, ,0,0,不適用  ,1,1,                                                                                ,兆遠一                        ,20120309,5,0,2,2,                                                                                ,20150309,101.51,兆豐證券股份有限公司                                                            ,0,                                                            ,1,7,34.55,20120410,20170227,兆豐國際商業銀行 信託部                           
4956      ,光鋐,49561          ,5,1         ,,20140624,20190624,500000000,500000000,0, ,0,0,不適用  ,1,1,                                                                                ,光鋐一                        ,20140624,5,0,2,2,                                                                                ,20160624,101.0025,凱基證券股份有限公司                                                            ,0,                                                            ,1,7,34.52,20140725,20190614,中國信託商業銀行股份有限公司                      
4971      ,F-IET,49711          ,5,1         ,1         ,20140708,20170708,300000000,300000000,0, ,0,0,無      ,1,1,                                                                                ,英特一                        ,20140708,3,0,2,2,                                                                                ,20160708,102.52,中國信託綜合證券                                                                ,0,                                                            ,1,7,70,20140809,20170629,中國信託商業銀行                                  
4974      ,亞泰,49742          ,5,2         ,,20140425,20170425,450000000,450000000,0, ,0,0,        ,1,1,                                                                                ,亞泰二                        ,20140425,3,0,2,2,                                                                                ,0,0,凱基證券股份有限公司                                                            ,0,                                                            ,1,7,50.5,20140526,20170415,中華開發工業銀行股份有限公司                      
